Autor,Nombre,Link
Refrán,Refrán,https://es.wikipedia.org/wiki/Refr%C3%A1n
Oscar Wilde (1854-1900) Dramaturgo y novelista irlandés.,Oscar Wilde,https://es.wikipedia.org/wiki/Oscar_Wilde
Aristóteles (384 AC-322 AC) Filósofo griego.,Aristóteles,https://es.wikipedia.org/wiki/Arist%C3%B3teles
Séneca (2 AC-65) Filósofo latino.,Séneca,https://es.wikipedia.org/wiki/S%C3%A9neca
William Shakespeare (1564-1616) Escritor británico.,William Shakespeare,https://es.wikipedia.org/wiki/William_Shakespeare
"Cicerón (106 AC-43 AC) Escritor, orador y político romano.",Cicerón,https://es.wikipedia.org/wiki/Cicer%C3%B3n
Goethe (1749-1832) Poeta y dramaturgo alemán.,Goethe,https://es.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe
Voltaire (1694-1778) Filósofo y escritor francés.,Voltaire,https://es.wikipedia.org/wiki/Voltaire
François de La Rochefoucauld (1613-1680) Escritor francés.,François de La Rochefoucauld,https://es.wikipedia.org/wiki/Fran%C3%A7ois_de_La_Rochefoucauld
Victor Hugo (1802-1885) Novelista francés.,Victor Hugo,https://es.wikipedia.org/wiki/Victor_Hugo
Gilbert Keith Chesterton (1874-1936) Escritor británico.,Gilbert Keith Chesterton,https://es.wikipedia.org/wiki/G._K._Chesterton
Anónimo,Anónimo,https://es.wikipedia.org/wiki/Seudonimato_y_anonimato
Miguel de Cervantes (1547-1616) Escritor español.,Miguel de Cervantes,https://es.wikipedia.org/wiki/Miguel_de_Cervantes
Benjamin Franklin (1706-1790) Estadista y científico estadounidense.,Benjamin Franklin,https://es.wikipedia.org/wiki/Benjamin_Franklin
Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,Albert Einstein,https://es.wikipedia.org/wiki/Albert_Einstein
Friedrich Nietzsche (1844-1900) Filosofo alemán.,Friedrich Nietzsche,https://es.wikipedia.org/wiki/Friedrich_Nietzsche
Confucio (551 AC-478 AC) Filósofo chino.,Confucio,https://es.wikipedia.org/wiki/Confucio
Mahatma Gandhi (1869-1948) Político y pensador indio.,Mahatma Gandhi,https://es.wikipedia.org/wiki/Mahatma_Gandhi
Francisco de Quevedo (1580-1645) Escritor español.,Francisco de Quevedo,https://es.wikipedia.org/wiki/Francisco_de_Quevedo
George Bernard Shaw (1856-1950) Escritor irlandés.,George Bernard Shaw,https://es.wikipedia.org/wiki/George_Bernard_Shaw
Emerson (1803-1882) Poeta y pensador estadounidense.,Emerson,https://es.wikipedia.org/wiki/Emerson
San Agustín (354-430) Obispo y filósofo.,San Agustín,https://es.wikipedia.org/wiki/Agust%C3%ADn_de_Hipona
Jorge Luis Borges (1899-1986) Escritor argentino.,Jorge Luis Borges,https://es.wikipedia.org/wiki/Jorge_Luis_Borges
Michel de Montaigne (1533-1592) Escritor y filósofo francés.,Michel de Montaigne,https://es.wikipedia.org/wiki/Michel_de_Montaigne
Sir Francis Bacon (1561-1626) Filósofo y estadista británico.,Sir Francis Bacon,https://es.wikipedia.org/wiki/Francis_Bacon
"Thomas Carlyle (1795-1881) Historiador, pensador y ensayista inglés.",Thomas Carlyle,https://es.wikipedia.org/wiki/Thomas_Carlyle
Platón (427 AC-347 AC) Filósofo griego.,Platón,https://es.wikipedia.org/wiki/Plat%C3%B3n
"Blaise Pascal (1623-1662) Científico, filósofo y escritor francés.",Blaise Pascal,https://es.wikipedia.org/wiki/Blaise_Pascal
Napoleón I (1769-1821) Napoleón Bonaparte. Emperador francés.,Napoleón I,https://es.wikipedia.org/wiki/Napole%C3%B3n_Bonaparte
Honoré de Balzac (1799-1850) Escritor francés.,Honoré de Balzac,https://es.wikipedia.org/wiki/Honor%C3%A9_de_Balzac
Jean Jacques Rousseau (1712-1778) Filósofo francés.,Jean Jacques Rousseau,https://es.wikipedia.org/wiki/Jean-Jacques_Rousseau
Baltasar Gracián (1601-1658) Escritor español.,Baltasar Gracián,https://es.wikipedia.org/wiki/Baltasar_Graci%C3%A1n
Rabindranath Tagore (1861-1941) Filósofo y escritor indio.,Rabindranath Tagore,https://es.wikipedia.org/wiki/Rabindranath_Tagore
Jacinto Benavente (1866-1954) Dramaturgo español.,Jacinto Benavente,https://es.wikipedia.org/wiki/Jacinto_Benavente
José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,José Ortega y Gasset,https://es.wikipedia.org/wiki/Jos%C3%A9_Ortega_y_Gasset
André Maurois (1885-1967) Novelista y ensayista francés.,André Maurois,https://es.wikipedia.org/wiki/Andr%C3%A9_Maurois
Anatole France (1844-1924) Escritor francés.,Anatole France,https://es.wikipedia.org/wiki/Anatole_France
Mark Twain (1835-1910) Escritor y periodista estadounidense.,Mark Twain,https://es.wikipedia.org/wiki/Mark_Twain
Miguel de Unamuno (1864-1936) Filósofo y escritor español.,Miguel de Unamuno,https://es.wikipedia.org/wiki/Miguel_de_Unamuno
George Sand (1804-1876) Escritora francesa.,George Sand,https://es.wikipedia.org/wiki/George_Sand
Arturo Graf (1848-1913) Escritor y poeta italiano.,Arturo Graf,https://es.wikipedia.org/wiki/Arturo_Graf
Winston Churchill (1874-1965) Político británico.,Winston Churchill,https://es.wikipedia.org/wiki/Winston_Churchill
Groucho Marx (1890-1977) Actor estadounidense.,Groucho Marx,https://es.wikipedia.org/wiki/Groucho_Marx
Albert Camus (1913-1960) Escritor francés.,Albert Camus,https://es.wikipedia.org/wiki/Albert_Camus
Jean de la Bruyere (1645-1696) Escritor francés.,Jean de la Bruyere,https://es.wikipedia.org/wiki/Jean_de_La_Bruy%C3%A8re
Enrique Jardiel Poncela (1901-1952) Escritor español.,Enrique Jardiel Poncela,https://es.wikipedia.org/wiki/Enrique_Jardiel_Poncela
Horacio (65 AC-8 AC) Poeta latino.,Horacio,https://es.wikipedia.org/wiki/Horacio
Montesquieu (1689-1755) Escritor y político francés.,Montesquieu,https://es.wikipedia.org/wiki/Montesquieu
Noel Clarasó (1899-1985) Escritor español.,Noel Clarasó,https://es.wikipedia.org/wiki/Noel_Claras%C3%B3
"Woody Allen (1935-?) Actor, director y escritor estadounidense.",Woody Allen,https://es.wikipedia.org/wiki/Woody_Allen
Concepción Arenal (1820-1893) Escritora y socióloga española.,Concepción Arenal,https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal
Antonio Machado (1875-1939) Poeta y prosista español.,Antonio Machado,https://es.wikipedia.org/wiki/Antonio_Machado
Arthur Schopenhauer (1788-1860) Filósofo alemán.,Arthur Schopenhauer,https://es.wikipedia.org/wiki/Arthur_Schopenhauer
Leon Tolstoi (1828-1910) Escritor ruso.,Leon Tolstoi,https://es.wikipedia.org/wiki/Le%C3%B3n_Tolst%C3%B3i
Abraham Lincoln (1808-1865) Político estadounidense.,Abraham Lincoln,https://es.wikipedia.org/wiki/Abraham_Lincoln
"Aldous Huxley (1894-1963) Novelista, ensayista y poeta inglés.",Aldous Huxley,https://es.wikipedia.org/wiki/Aldous_Huxley
Antoine de Saint-Exupéry (1900-1944) Escritor francés.,Antoine de Saint-Exupéry,https://es.wikipedia.org/wiki/Antoine_de_Saint-Exup%C3%A9ry
